term_display_name,description,steward,tagged_assets,synonyms,related_terms,belongs_to_category
Loyalty Points Burn-to-Earn Ratio,Proportion of issued loyalty reward points redeemed by customers relative to newly earned points.,LumièreShop Data Governance <governance@lumiereshop.internal>,"loyalty_members:current_points_balance, loyalty_points_ledger:points_delta, loyalty_reward_redemptions:reward_id, loyalty_tier_definitions:tier_name","burn to earn, points redemption velocity, loyalty point utilization rate","Loyalty Points Breakage Rate (%), Loyalty Reward Points Redemption Rate, CLV (Customer Lifetime Value), Gift Card Unredeemed Breakage Value, Customer Referral Program Acquisition Yield","Customer Loyalty, Rewards & Retention"
Loyalty Reward Points Redemption Rate,The proportion of accumulated member loyalty points converted into commercial reward redemptions and discounts.,LumièreShop Data Governance <governance@lumiereshop.internal>,"loyalty_points_ledger:points_delta, loyalty_reward_redemptions:points_spent","reward redemption rate, loyalty burn rate, point redemption percentage, points utilization","Loyalty Points Breakage Rate (%), CLV (Customer Lifetime Value), Loyalty Points Burn-to-Earn Ratio, Gift Card Unredeemed Breakage Value, Customer Referral Program Acquisition Yield","Customer Loyalty, Rewards & Retention"
CSAT (Customer Satisfaction Score %),The percentage of satisfied survey responses (rating 4 or 5 out of 5) submitted following customer support interactions.,LumièreShop Data Governance <governance@lumiereshop.internal>,"csat_surveys:score, csat_surveys:ticket_id","CSAT, customer satisfaction, support satisfaction, service satisfaction rate","First Contact Resolution (FCR %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate, Customer Support Ticket Backlog","Customer Support, CRM & CSAT"
CSAT (Customer Satisfaction Score),Average customer satisfaction rating recorded on post-ticket resolution surveys on a 1-5 scale.,LumièreShop Data Governance <governance@lumiereshop.internal>,"csat_surveys:csat_score, support_agents:tier_level","customer satisfaction, CSAT rating, support quality score, customer happiness index","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate","Customer Support, CRM & CSAT"
Customer Escalation Rate,Percentage of customer support inquiries escalated to senior management or tier-3 support teams.,LumièreShop Data Governance <governance@lumiereshop.internal>,"agent_worklog_shifts:shift_type, call_center_recordings_metadata:call_duration_seconds, customer_escalations:escalation_reason","tier 3 escalation, manager escalation rate, critical complaint volume","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate","Customer Support, CRM & CSAT"
Customer Support Ticket Backlog,Total count of unresolved or pending customer service tickets across support queues.,LumièreShop Data Governance <governance@lumiereshop.internal>,"support_tickets:priority, ticket_messages:sender_type","support backlog, open ticket queue, unresolved ticket count, helpdesk queue depth","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate","Customer Support, CRM & CSAT"
First Contact Resolution (FCR %),The percentage of customer support tickets successfully resolved during the initial contact without requiring escalations or repeat interactions.,LumièreShop Data Governance <governance@lumiereshop.internal>,"support_tickets:status, support_tickets:ticket_id","FCR, first touch resolution, one touch resolution, single contact solve","CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate, Customer Support Ticket Backlog","Customer Support, CRM & CSAT"
First Contact Resolution (FCR) Rate,Percentage of incoming support tickets resolved in a single interaction without follow-up escalation.,LumièreShop Data Governance <governance@lumiereshop.internal>,"support_tickets:status, ticket_categories:category_name","FCR, one-touch resolution, single contact fix rate","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, Customer Support Ticket Backlog","Customer Support, CRM & CSAT"
Helpdesk Ticket SLA Compliance Rate,The percentage of support tickets resolved strictly within the defined category SLA target duration in minutes.,LumièreShop Data Governance <governance@lumiereshop.internal>,"support_tickets:resolution_time_sec, ticket_categories:sla_target_minutes","support SLA compliance, helpdesk SLA rate, case resolution SLA, ticket SLA adherence","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), First Contact Resolution (FCR) Rate, Customer Support Ticket Backlog","Customer Support, CRM & CSAT"
Live Chat Customer Support & Knowledge Base Deflection,"Real-time live chat session metrics, agent messaging throughput, and knowledge base self-service deflection rate.",LumièreShop Data Governance <governance@lumiereshop.internal>,"knowledge_base_articles:view_count, live_chat_messages:message_text, live_chat_sessions:session_id","live chat volume, chat response time, knowledge base deflection, help center reads","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), NPS (Net Promoter Score), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate","Customer Support, CRM & CSAT"
NPS (Net Promoter Score),Customer advocacy index calculated as the percentage of brand Promoters (ratings 9-10) minus Detractors (ratings 0-6).,LumièreShop Data Governance <governance@lumiereshop.internal>,nps_feedback_responses:score,"NPS, net promoter score, customer advocacy, brand loyalty index","First Contact Resolution (FCR %), CSAT (Customer Satisfaction Score %), Helpdesk Ticket SLA Compliance Rate, First Contact Resolution (FCR) Rate, Customer Support Ticket Backlog","Customer Support, CRM & CSAT"
Conversational Agent Query Slot-Millisecond Efficiency,BigQuery slot-milliseconds and compute resources consumed by automated conversational analytics agents per SQL execution.,LumièreShop Data Governance <governance@lumiereshop.internal>,"agent_interaction_logs:slot_milliseconds, dev_customer_churn_feature_store:feature_timestamp, dev_product_embedding_vectors:embedding_version","slot consumption, agent query compute, BigQuery slot efficiency",Sandbox Test Simulators & Synthetic Validation Harness,"Data Governance, Quality & Interaction Auditing"
Sandbox Test Simulators & Synthetic Validation Harness,"Non-production sandbox environments for synthetic load testing, fraud simulation, pricing experimentation, and web event telemetry.",LumièreShop Data Governance <governance@lumiereshop.internal>,"qa_checkout_synthetic_fuzz_tests:test_id, qa_load_test_sessions_backup:session_id, sandbox_dynamic_pricing_sim_v1:sim_id, sandbox_search_ranking_ab_test:variant, test_carrier_webhook_payloads:payload_id, test_fraud_mock_transactions:transaction_id, web_events:event_type","sandbox pricing simulation, QA load test, synthetic fraud test, clickstream web events",Conversational Agent Query Slot-Millisecond Efficiency,"Data Governance, Quality & Interaction Auditing"
Cookie Consent Tracking Attribution Mirage,"Discrepancy where client-side analytics pixels (e.g. Meta Pixel on iOS Safari) drop tracking events, while server-side BigQuery order records remain healthy.",LumièreShop Data Governance <governance@lumiereshop.internal>,"orders:total_amount, web_sessions:device_os","cookie tracking drop, iOS tracking glitch, attribution mirage, CMP consent drop",Payment Service Provider (PSP) Error,Digital Experience & Payments
Payment Service Provider (PSP) Error,"Technical transaction failures, gateway timeouts, or authorization declines returned by Stripe, PayPal, or Adyen.",LumièreShop Data Governance <governance@lumiereshop.internal>,"payment_gateway_logs:error_code, payment_gateway_logs:status","payment failure, gateway timeout, checkout error, credit card decline",Cookie Consent Tracking Attribution Mirage,Digital Experience & Payments
Carrier Capacity Utilization & Bottleneck,Operational workload percentage of logistics distribution centers and freight carriers. Utilization over 90% triggers shipping SLA delays.,LumièreShop Data Governance <governance@lumiereshop.internal>,shipping_lead_times:capacity_utilization_pct,"logistics bottleneck, warehouse congestion, carrier overload","DACH Region, Delivery Lead Time SLA",Fulfillment & Regional Logistics
DACH Region,"Central European commercial zone comprising Germany (DE), Austria (AT), and Switzerland (CH), primarily fulfilled by the Frankfurt Hub (DC 2).",LumièreShop Data Governance <governance@lumiereshop.internal>,"shipping_lead_times:destination_region, users:country","DACH, German market, Central Europe, German-speaking region","Delivery Lead Time SLA, Carrier Capacity Utilization & Bottleneck",Fulfillment & Regional Logistics
Delivery Lead Time SLA,The promised carrier transit duration displayed to customers at checkout. Standard target is 24 hours.,LumièreShop Data Governance <governance@lumiereshop.internal>,shipping_lead_times:actual_promised_lead_time_hours,"shipping lead time, delivery promise, transit time, shipping speed","DACH Region, Carrier Capacity Utilization & Bottleneck",Fulfillment & Regional Logistics
Affiliate Publisher Commission Yield,Total partner commission payout generated per unit of net revenue driven by external affiliate publisher networks.,LumièreShop Data Governance <governance@lumiereshop.internal>,"affiliate_commission_payouts:commission_amount_eur, affiliate_publishers_directory:publisher_name, coupon_redemption_audit:discount_applied_eur, discount_coupons_master:discount_percentage","affiliate payout rate, partner publisher commission, affiliate ROI","Email Campaign Deliverability Rate, Omnichannel SMS & Mobile Push Notification Engagement","Lifecycle Marketing, Email & Campaigns"
Email Campaign Deliverability Rate,Percentage of dispatched promotional and lifecycle emails successfully accepted by recipient mail servers without hard or soft bounces.,LumièreShop Data Governance <governance@lumiereshop.internal>,"email_bounces_and_complaints:bounce_type, email_campaign_templates:subject_line, email_send_queue_logs:status","email delivery rate, inbox placement rate, deliverability percentage","Affiliate Publisher Commission Yield, Omnichannel SMS & Mobile Push Notification Engagement","Lifecycle Marketing, Email & Campaigns"
Omnichannel SMS & Mobile Push Notification Engagement,Delivery success and interaction CTR for automated SMS alerts and mobile application push broadcasts.,LumièreShop Data Governance <governance@lumiereshop.internal>,"marketing_campaigns:campaign_name, mobile_app_push_campaigns:campaign_id, push_notification_receipts:status, sms_delivery_receipts:delivery_status, sms_marketing_broadcasts:broadcast_id, user_subscription_preferences:opt_in_sms","push notification CTR, SMS broadcast delivery, mobile push engagement","Email Campaign Deliverability Rate, Affiliate Publisher Commission Yield","Lifecycle Marketing, Email & Campaigns"
CPC (Cost Per Click),The average financial amount billed by the advertising network for each user click interaction.,LumièreShop Data Governance <governance@lumiereshop.internal>,daily_ad_performance:average_cpc,"cost per click, click cost, ad traffic cost","ROAS (Return on Ad Spend), CVR (E-Commerce Conversion Rate), Learning Limited (Ad Platform Status), Target ROAS Budget Throttling, Influencer Attributed Revenue",Paid Acquisition & Marketing
CVR (E-Commerce Conversion Rate),The percentage of web sessions or product page visitors that successfully finalize a completed transaction.,LumièreShop Data Governance <governance@lumiereshop.internal>,daily_category_targets:target_conversion_rate,"conversion rate, checkout conversion, sales conversion","ROAS (Return on Ad Spend), CPC (Cost Per Click), Learning Limited (Ad Platform Status), Target ROAS Budget Throttling, Influencer Attributed Revenue",Paid Acquisition & Marketing
Influencer Attributed Revenue,"Gross merchandise value generated directly through creator promotion codes (e.g. TikTok, Instagram).",LumièreShop Data Governance <governance@lumiereshop.internal>,"influencer_campaigns:attributed_revenue, influencer_campaigns:influencer_handle","creator revenue, influencer sales, promo code sales","ROAS (Return on Ad Spend), CPC (Cost Per Click), CVR (E-Commerce Conversion Rate), Learning Limited (Ad Platform Status), Target ROAS Budget Throttling",Paid Acquisition & Marketing
Learning Limited (Ad Platform Status),Algorithmic state in Meta Ads/Google Ads where an ad set fails to exit the initial machine learning phase or becomes restricted due to creative fatigue or low conversion volume.,LumièreShop Data Governance <governance@lumiereshop.internal>,"ad_bidding_log:action_taken, ad_creatives:ill","ad fatigue, algorithm lockout, creative fatigue, stuck campaign","ROAS (Return on Ad Spend), CPC (Cost Per Click), CVR (E-Commerce Conversion Rate), Target ROAS Budget Throttling, Influencer Attributed Revenue",Paid Acquisition & Marketing
Lifecycle Email Deliverability Rate (%),The percentage of broadcast lifecycle and promotional marketing emails successfully delivered to recipient inboxes without bounce rejections.,LumièreShop Data Governance <governance@lumiereshop.internal>,"email_bounces_and_complaints:bounce_type, email_send_queue_logs:status","email deliverability, inbox delivery rate, email bounce rate, marketing email deliverability","ROAS (Return on Ad Spend), CPC (Cost Per Click), CVR (E-Commerce Conversion Rate), Learning Limited (Ad Platform Status), Target ROAS Budget Throttling",Paid Acquisition & Marketing
ROAS (Return on Ad Spend),Marketing efficiency metric calculated as total attributed sales revenue divided by advertising expenditure across paid acquisition channels.,LumièreShop Data Governance <governance@lumiereshop.internal>,"daily_ad_performance:spend, daily_category_targets:target_roas","ad efficiency, marketing ROI, ad return, campaign return, ad spend efficiency","CPC (Cost Per Click), CVR (E-Commerce Conversion Rate), Learning Limited (Ad Platform Status), Target ROAS Budget Throttling, Influencer Attributed Revenue",Paid Acquisition & Marketing
Target ROAS Budget Throttling,Automated bidding reaction where the ad platform slashes daily budget allocations when observed conversion rate drops below the required threshold to maintain efficiency.,LumièreShop Data Governance <governance@lumiereshop.internal>,"ad_bidding_log:action_taken, daily_ad_performance:spend","budget throttling, spend cut, algorithm throttling, ad spend reduction","ROAS (Return on Ad Spend), CPC (Cost Per Click), CVR (E-Commerce Conversion Rate), Learning Limited (Ad Platform Status), Influencer Attributed Revenue",Paid Acquisition & Marketing
Catalog Recommender Category Mismatch,Algorithmic failure mode where the product recommendation engine displays unrelated categories (e.g. Electronics on Beauty pages) upon fallback.,LumièreShop Data Governance <governance@lumiereshop.internal>,"catalog_recommender_logs:cat_mismatch_flg, catalog_recommender_logs:opp_cost_eur","recommender bug, cross-sell failure, recommendation mismatch, broken substitute",Competitor Price Index Parity,Pricing & Merchandising
Competitor Price Index Parity,Ratio of competitor retail prices compared to LumièreShop prices for identical SKUs. 1.00x denotes exact price parity.,LumièreShop Data Governance <governance@lumiereshop.internal>,"competitor_price_feed:competitor_price, competitor_promotions:discount_pct","price parity, price index, competitive pricing, price benchmark",Catalog Recommender Category Mismatch,Pricing & Merchandising
Catalog Attribute Completeness (%),Product Information Management (PIM) data quality score measuring the percentage of mandatory product attributes populated across catalog SKUs.,LumièreShop Data Governance <governance@lumiereshop.internal>,"product_attribute_definitions:attribute_id, product_attribute_values:value_id","PIM completeness, catalog data quality, attribute coverage percentage, catalog health score","PIM Product Attribute Completeness Rate, Catalog SEO Metadata & Legacy Product Lifecycle",Product Information Management & Catalog Master
Catalog SEO Metadata & Legacy Product Lifecycle,Organic search engine meta tag coverage and archival tracking for deprecated catalog products and historical order logs.,LumièreShop Data Governance <governance@lumiereshop.internal>,"legacy_orders_2023_archive:order_id, legacy_products_deprecated:deprecation_date, seo_meta_tags_registry:meta_title","SEO meta tags, deprecated products archive, legacy order history","Catalog Attribute Completeness (%), PIM Product Attribute Completeness Rate",Product Information Management & Catalog Master
PIM Product Attribute Completeness Rate,"Percentage of active catalog SKUs possessing 100% of required merchandising attributes, translations, and media assets.",LumièreShop Data Governance <governance@lumiereshop.internal>,"product_attribute_definitions:attribute_name, product_attribute_values:attribute_value_text, product_brand_guidelines:brand_name, product_media_gallery:media_type, product_multilingual_translations:locale_code, product_size_charts:fit_type","PIM completeness, catalog data quality, attribute fullness, SKU enrichment score","Catalog Attribute Completeness (%), Catalog SEO Metadata & Legacy Product Lifecycle",Product Information Management & Catalog Master
Third-Party Staging Pipeline Ingestion Latency,Average time delay in minutes between upstream source API transaction timestamps and raw BigQuery staging table ingestion.,LumièreShop Data Governance <governance@lumiereshop.internal>,"stg_adyen_settlements_raw:raw_payload, stg_criteo_retargeting_raw:raw_payload, stg_ga4_clickstream_raw:raw_payload, stg_ga4_traffic_sources_raw:raw_payload, stg_google_ads_campaigns_raw:raw_payload, stg_google_ads_search_terms_raw:raw_payload, stg_klaviyo_campaigns_raw:raw_payload, stg_klaviyo_email_events_raw:raw_payload, stg_meta_ad_insights_raw:raw_payload, stg_sap_erp_inventory_feed_raw:raw_payload, stg_sap_erp_purchase_orders_raw:raw_payload, stg_shopify_customers_raw:raw_payload, stg_shopify_orders_raw:raw_payload, stg_shopify_products_raw:raw_payload, stg_stripe_disputes_raw:raw_payload, stg_stripe_payment_intents_raw:raw_payload, stg_trustpilot_reviews_raw:raw_payload, stg_wms_shipments_raw:raw_payload, stg_zendesk_satisfaction_raw:raw_payload, stg_zendesk_tickets_raw:raw_payload","staging latency, API ingestion delay, ELT sync freshness, raw feed latency",,Raw Ingestion & Third-Party Partner Feeds
BOPIS (Buy-Online-Pick-Up-in-Store) Completion Rate,The percentage of Click & Collect orders successfully collected by customers at physical retail stores within promised pickup SLAs.,LumièreShop Data Governance <governance@lumiereshop.internal>,"click_and_collect_orders:collected_at, click_and_collect_orders:status","click and collect completion, BOPIS fulfillment, store pickup rate, omnichannel pickup SLA","Same-Store Sales Growth (SSS %), Click & Collect (BOPIS) Ready-for-Pickup SLA Rate",Retail Physical Stores & Omni-Channel POS
Click & Collect (BOPIS) Ready-for-Pickup SLA Rate,"Percentage of online click-and-collect orders picked, packed, and marked ready in physical store branches within the 2-hour customer promise SLA.",LumièreShop Data Governance <governance@lumiereshop.internal>,"click_and_collect_orders:pickup_status, physical_store_locations:city, pos_store_transactions:total_amount_eur, pos_terminal_registers:register_number, pos_transaction_items:quantity, store_cash_drawer_counts:variance_eur, store_employee_rosters:shift_role, store_inventory_levels:quantity_in_store","BOPIS SLA, click and collect readiness, curbside pickup fulfillment time, store pickup SLA","Same-Store Sales Growth (SSS %), BOPIS (Buy-Online-Pick-Up-in-Store) Completion Rate",Retail Physical Stores & Omni-Channel POS
Same-Store Sales Growth (SSS %),Year-over-year commercial sales revenue growth percentage generated across physical retail store locations open for at least one full calendar year.,LumièreShop Data Governance <governance@lumiereshop.internal>,"physical_store_locations:store_id, pos_store_transactions:total_amount_eur","comp store sales, same store sales, like-for-like sales, LFL store growth, SSS growth","BOPIS (Buy-Online-Pick-Up-in-Store) Completion Rate, Click & Collect (BOPIS) Ready-for-Pickup SLA Rate",Retail Physical Stores & Omni-Channel POS
Customer Refund Value Ratio,Total monetary volume refunded to customer accounts relative to total gross checkout merchandise value.,LumièreShop Data Governance <governance@lumiereshop.internal>,"customer_refunds:refund_amount, orders:total_amount","refund rate, customer refund ratio, refund value percentage, disbursed refunds","Product Return Rate (RMA %), RMA Return Inspection Processing SLA, RMA Authorization Rate, Defective Inspection Rate, Refund Payout Processing Latency","Returns, Refunds & RMA Management"
Defective Inspection Rate,Ratio of returned items classified as defective or damaged upon warehouse triage inspection.,LumièreShop Data Governance <governance@lumiereshop.internal>,"return_inspections:condition_grade, return_shipping_labels:tracking_number","damaged return rate, inspection defect ratio, faulty goods percentage","Product Return Rate (RMA %), Customer Refund Value Ratio, RMA Return Inspection Processing SLA, RMA Authorization Rate, Refund Payout Processing Latency","Returns, Refunds & RMA Management"
Product Return Rate (RMA %),The percentage of fulfilled retail order items returned by customers across categories.,LumièreShop Data Governance <governance@lumiereshop.internal>,"order_items:order_item_id, product_returns:return_id","return rate, RMA percentage, product return percentage, merchandise return rate","Customer Refund Value Ratio, RMA Return Inspection Processing SLA, RMA Authorization Rate, Defective Inspection Rate, Refund Payout Processing Latency","Returns, Refunds & RMA Management"
RMA Authorization Rate,Percentage of completed orders that result in a return merchandise authorization (RMA) request.,LumièreShop Data Governance <governance@lumiereshop.internal>,"product_returns:return_id, return_reasons_lookup:reason_code","return rate, return merchandise authorization, RMA percentage, order return ratio","Product Return Rate (RMA %), Customer Refund Value Ratio, RMA Return Inspection Processing SLA, Defective Inspection Rate, Refund Payout Processing Latency","Returns, Refunds & RMA Management"
RMA Return Inspection Processing SLA,Elapsed turnaround time in hours between return authorization receipt and physical warehouse triage inspection.,LumièreShop Data Governance <governance@lumiereshop.internal>,"product_returns:created_at, return_inspections:inspected_at","return inspection cycle, RMA turnaround, reverse logistics SLA, return cycle time","Product Return Rate (RMA %), Customer Refund Value Ratio, RMA Authorization Rate, Defective Inspection Rate, Refund Payout Processing Latency","Returns, Refunds & RMA Management"
Refund Payout Processing Latency,Average duration in hours from customer return receipt to financial refund disbursement.,LumièreShop Data Governance <governance@lumiereshop.internal>,customer_refunds:amount_eur,"refund turnaround time, refund payout speed, customer refund delay","Product Return Rate (RMA %), Customer Refund Value Ratio, RMA Return Inspection Processing SLA, RMA Authorization Rate, Defective Inspection Rate","Returns, Refunds & RMA Management"
Replacement Order & Warranty Claim Rate,Incidence rate of zero-cost replacement orders dispatched and manufacturer warranty claims filed due to transit damages or product defects.,LumièreShop Data Governance <governance@lumiereshop.internal>,"replacement_orders:replacement_order_id, restocking_fee_logs:fee_amount_eur, warranty_claims:claim_id","warranty claim rate, replacement order cost, restocking fee yield","Product Return Rate (RMA %), Customer Refund Value Ratio, RMA Return Inspection Processing SLA, RMA Authorization Rate, Defective Inspection Rate","Returns, Refunds & RMA Management"
Inbound Dock Appointment Turnaround Time,Average elapsed time from carrier truck arrival at the inbound dock to container unload and putaway completion.,LumièreShop Data Governance <governance@lumiereshop.internal>,"cross_dock_transfer_orders:transfer_status, forklift_telemetry_logs:battery_level_pct, freight_carrier_contracts:base_rate_eur, inbound_dock_appointments:status, warehouse_refurbishments:refurbishment_cost_eur","dock dwell time, cross dock turnaround, freight unloading latency","Out of Stock (OOS / Stockout), Stockout Estimated Lost Revenue, Safety Stock Level, Supplier OTIF (On-Time In-Full Delivery %), Supplier Inbound Defect Rate (%)",Supply Chain & Warehousing
